time,FM1 _x,FM2 _x,FM3 _x,FF1 _x,FF2 _x,FF3_x,FM1 _y,FM2 _y,FM3 _y,FF1 _y,FF2 _y,FF3_y
2.0,0.156,0.07706666666666667,-0.0077333333333333325,0.0792,0.3589333333333334,0.0504,0.005733333333333333,-0.11706666666666665,-0.13826666666666665,0.0832,0.1444,0.09466666666666666
2.4,0.1882666666666667,0.09293333333333333,0.024133333333333336,0.09920000000000001,0.3642666666666667,0.05933333333333332,0.012,-0.1416,-0.14839999999999998,0.08893333333333335,0.16480000000000003,0.10586666666666666
2.8,0.19973333333333335,0.10333333333333333,0.05666666666666668,0.11733333333333335,0.3861333333333333,0.07373333333333333,0.014,-0.15586666666666665,-0.15,0.08306666666666666,0.1804,0.11226666666666667
3.2,0.20373333333333332,0.11,0.09,0.1348,0.4234666666666667,0.08066666666666666,0.010533333333333334,-0.1576,-0.15,0.07786666666666667,0.19680000000000003,0.11226666666666667
3.6,0.15413333333333334,0.11613333333333334,0.1228,0.15813333333333332,0.4233333333333333,0.08,0.006533333333333334,-0.15626666666666666,-0.15,0.07519999999999999,0.2328,0.10826666666666665
4.0,0.05226666666666666,0.12146666666666665,0.16493333333333335,0.18173333333333333,0.39133333333333337,0.076,-0.004266666666666666,-0.15493333333333334,-0.1484,0.07346666666666667,0.2504,0.09666666666666666
4.4,-0.04866666666666668,0.1268,0.20586666666666667,0.20186666666666667,0.39266666666666666,0.072,-0.02173333333333333,-0.1536,-0.14573333333333333,0.07346666666666668,0.24280000000000002,0.08333333333333333
4.8,-0.13893333333333335,0.13093333333333335,0.21746666666666664,0.2164,0.43666666666666665,0.068,-0.04133333333333333,-0.15226666666666666,-0.14306666666666668,0.07906666666666667,0.23373333333333335,0.0696
5.2,-0.22533333333333336,0.1328,0.2134666666666667,0.2324,0.43640000000000007,0.06520000000000001,-0.06293333333333334,-0.15080000000000002,-0.14346666666666666,0.08853333333333334,0.22893333333333335,0.054933333333333334
5.6,-0.3226666666666667,0.1328,0.2094666666666667,0.24839999999999998,0.3548,0.06480000000000001,-0.07826666666666666,-0.14786666666666667,-0.14600000000000002,0.09973333333333334,0.22253333333333336,0.042133333333333335
6.0,-0.41973333333333335,0.13146666666666668,0.20546666666666666,0.2644,0.23613333333333333,0.06413333333333333,-0.09026666666666668,-0.14306666666666668,-0.14866666666666667,0.11293333333333334,0.19693333333333335,0.03133333333333333
6.4,-0.4945333333333334,0.13013333333333332,0.20026666666666668,0.27,0.11866666666666667,0.06280000000000001,-0.10346666666666668,-0.1373333333333333,-0.15133333333333335,0.12,0.15519999999999998,0.022933333333333333
6.8,-0.49679999999999996,0.13,0.1712,0.27,0.11106666666666666,0.0628,-0.1156,-0.13933333333333334,-0.15426666666666666,0.11653333333333334,0.10466666666666667,0.014933333333333331
7.2,-0.46399999999999997,0.12946666666666667,0.12200000000000001,0.2688,0.10386666666666668,0.06080000000000001,-0.12173333333333335,-0.1452,-0.15960000000000002,0.11253333333333333,0.059333333333333335,0.007866666666666668
7.6,-0.43173333333333336,0.12813333333333332,0.07,0.2642666666666667,0.0204,0.05599999999999999,-0.1264,-0.14586666666666667,-0.16440000000000002,0.10653333333333334,0.0156,0.0016
8.0,-0.43,0.12626666666666664,0.017200000000000003,0.2536,-0.08266666666666667,0.05066666666666667,-0.12813333333333332,-0.13026666666666667,-0.16733333333333333,0.09426666666666667,-0.02986666666666667,0.0
8.4,-0.43,0.11546666666666666,-0.04906666666666666,0.2429333333333333,-0.17213333333333333,0.0444,-0.13306666666666667,-0.11506666666666668,-0.16680000000000003,0.08093333333333334,-0.0768,0.0
8.8,-0.43,0.08786666666666666,-0.14333333333333334,0.23226666666666668,-0.2092,0.037733333333333334,-0.136,-0.10239999999999999,-0.16546666666666668,0.06760000000000001,-0.1204,0.0
