time,median_arousal,median_valence
2.0,0.0332,0.1456
2.4,0.039933333333333335,0.17226666666666668
2.8,0.0462,0.18673333333333333
3.2,0.05106666666666666,0.18753333333333333
3.6,0.04586666666666667,0.18413333333333334
4.04,0.049133333333333334,0.19086666666666668
4.44,0.05093333333333334,0.1958666666666667
4.84,0.05539999999999999,0.19093333333333334
5.24,0.05146666666666667,0.192
5.64,0.04806666666666667,0.2014
6.04,0.05426666666666667,0.22073333333333334
6.44,0.06473333333333334,0.24513333333333331
6.88,0.07926666666666667,0.27193333333333336
7.28,0.09280000000000001,0.30606666666666665
7.68,0.09846666666666665,0.33366666666666667
8.08,0.09993333333333333,0.3464666666666667
8.48,0.1,0.35426666666666673
8.88,0.12206666666666667,0.3554666666666667
9.28,0.1094,0.3472
9.68,0.08226666666666668,0.3326
10.08,0.0658,0.3196
10.48,0.048600000000000004,0.2942
10.88,0.0324,0.2551333333333333
11.28,0.012066666666666663,0.22026666666666667
11.68,-0.021199999999999997,0.19346666666666668
12.08,-0.0484,0.1676
12.48,-0.06646666666666667,0.1498
12.88,-0.07286666666666668,0.15593333333333334
13.28,-0.07213333333333333,0.17573333333333332
13.68,-0.05906666666666666,0.17779999999999999
14.08,-0.027533333333333333,0.20113333333333333
14.48,0.006600000000000002,0.22593333333333332
14.88,0.028200000000000003,0.25793333333333335
15.28,0.04293333333333334,0.2854
15.68,0.05560000000000001,0.3016
16.08,0.065,0.29346666666666665
16.48,0.07206666666666667,0.2602
16.88,0.06826666666666667,0.2152666666666667
17.28,0.054400000000000004,0.1728
18.16,0.03560000000000001,0.13193333333333332
18.56,0.016000000000000007,0.11733333333333335
18.96,-0.002133333333333331,0.08826666666666667
19.36,-0.0184,0.05293333333333333
19.76,-0.03646666666666666,0.028333333333333335
20.16,-0.0736,0.006533333333333335
20.56,-0.0992,-0.023933333333333334
20.96,-0.10873333333333335,-0.0442
21.36,-0.11293333333333333,-0.03553333333333333
21.76,-0.1134,-0.008333333333333337
22.16,-0.1092,0.032466666666666665
22.56,-0.09593333333333334,0.075
22.96,-0.0766,0.1176
23.36,-0.05360000000000001,0.16093333333333334
23.76,-0.02820000000000001,0.18853333333333333
24.16,-0.0070666666666666725,0.19206666666666666
24.56,0.006200000000000001,0.19066666666666668
24.96,0.012333333333333332,0.188
25.36,0.012666666666666666,0.18786666666666668
25.76,0.010466666666666668,0.18966666666666665
26.2,0.005733333333333333,0.1798
26.6,-0.0198,0.16766666666666669
27.0,-0.0412,0.15593333333333334
27.4,-0.06286666666666667,0.14446666666666666
27.8,-0.08486666666666666,0.13413333333333333
28.2,-0.10573333333333335,0.1248
28.6,-0.1216,0.11680000000000001
29.0,-0.12933333333333333,0.10946666666666667
29.4,-0.1326,0.10573333333333335
29.8,-0.13506666666666667,0.09613333333333335
30.2,-0.13126666666666667,0.06013333333333334
30.6,-0.13626666666666667,0.023533333333333333
31.0,-0.14720000000000003,0.0010666666666666654
31.4,-0.1532,-0.0124
31.8,-0.15713333333333335,-0.02333333333333333
32.2,-0.16,-0.023400000000000004
32.6,-0.1606,-0.016933333333333335
33.0,-0.15940000000000001,-0.0102
33.4,-0.1608,-0.008
33.8,-0.16319999999999998,-0.0012
34.2,-0.1664,0.022333333333333337
34.6,-0.1704,0.04793333333333333
35.0,-0.1744,0.07319999999999999
35.4,-0.1784,0.09313333333333335
35.84,-0.18526666666666666,0.11186666666666666
36.24,-0.19693333333333335,0.12966666666666668
36.64,-0.20973333333333335,0.1442
37.04,-0.22666666666666668,0.15133333333333332
37.44,-0.22900000000000004,0.14766666666666667
37.84,-0.24686666666666668,0.13646666666666668
38.24,-0.26726666666666665,0.11946666666666667
38.64,-0.28633333333333333,0.09853333333333333
39.04,-0.2802,0.07526666666666668
39.44,-0.2710666666666667,0.054066666666666666
39.84,-0.25806666666666667,0.036199999999999996
40.24,-0.19853333333333334,0.019733333333333335
40.64,-0.11073333333333335,0.009866666666666666
41.04,-0.025466666666666665,0.018866666666666667
41.48,0.007600000000000003,0.03193333333333333
41.88,0.004333333333333328,0.035
42.28,-0.0050000000000000044,0.0522
42.68,0.005399999999999995,0.06686666666666666
43.08,0.012266666666666669,0.08353333333333333
43.48,0.01693333333333333,0.10093333333333332
43.88,0.01746666666666666,0.11406666666666666
44.32,0.017333333333333333,0.12306666666666667
44.72,0.0136,0.1296
45.12,0.005933333333333337,0.13486666666666666
45.52,-0.025866666666666666,0.13753333333333334
45.92,-0.07466666666666666,0.13686666666666666
46.32,-0.125,0.1332
46.72,-0.13366666666666666,0.1254
47.12,-0.14566666666666667,0.11473333333333335
47.52,-0.16473333333333334,0.10206666666666667
47.92,-0.1826,0.08846666666666667
48.32,-0.19226666666666664,0.07713333333333332
48.72,-0.18626666666666666,0.06706666666666666
49.12,-0.18093333333333333,0.060333333333333336
49.52,-0.18326666666666666,0.05406666666666667
49.92,-0.1858,0.05
50.32,-0.1928,0.04766666666666667
50.72,-0.2042,0.04680000000000001
51.16,-0.21506666666666668,0.04680000000000001
51.56,-0.22573333333333334,0.04680000000000001
51.96,-0.23413333333333333,0.04786666666666666
52.36,-0.2352,0.0492
52.76,-0.23846666666666666,0.051133333333333336
53.16,-0.2128,0.06213333333333333
53.56,-0.173,0.10026666666666667
54.0,-0.1188,0.15460000000000002
54.4,-0.0554,0.19913333333333336
54.8,0.00046666666666666634,0.23633333333333334
55.24,0.0406,0.2697333333333333
55.64,0.06993333333333333,0.29133333333333333
56.04,0.0882,0.30613333333333337
56.44,0.09820000000000001,0.33886666666666665
56.84,0.0992,0.33873333333333333
57.24,0.10446666666666667,0.32106666666666667
57.64,0.10853333333333333,0.3022666666666667
58.04,0.0974,0.29173333333333334
