median_arousal,median_valence
0.12269724082437035,1.187164337022483
-0.02022793498602478,1.1618582173592675
-0.13438829553898166,1.064526987885361
-0.13034324339340445,0.9623291969377591
-0.06157735691859171,0.8523449076322454
-0.1442762007837262,0.7511204289793817
-0.24764975561514377,0.44355374384183854
-0.32720244781149577,0.10484106527264439
-0.3465288080625872,-0.11123426415942766
-0.35776506402252345,-0.19883237068594348
-0.3519222109233568,-0.27669735426506953
-0.3101233387523922,-0.35456233784419416
-0.24180690251597647,-0.31076328458093627
-0.14787180269090572,-0.17741950020168504
0.12539394225475514,-0.05478215106456292
0.3977607867236212,0.054228825946212575
0.5546189199243382,0.10776100215686167
0.5874287873273536,0.13988030788325087
0.6099012992472268,0.17686617508333446
0.6305760102135107,0.2109321053992012
0.6494529202262044,0.2479179725992868
0.650351820702999,0.41824762417862205
0.636868313551075,0.6119367708316963
0.6350705125974849,0.8611047182848971
0.6440595173654348,1.042140805106363
0.6530485221333839,1.091779732138055
0.662037526901333,1.1336321608118338
0.6746221335764623,1.1277922870433996
0.6881056407283863,1.0684202370643177
0.7015891478803105,1.0012616887273222
0.7096792521714649,1.0022350010220604
0.7375451669521077,1.0723134862432742
0.7690066836399309,1.180351150959309
0.804513252473331,1.1774312140750915
0.8445143236907056,1.1793778386645708
0.8764252906169256,1.143365283759225
0.911931859450326,1.1579649681803108
0.9514834804293035,1.2368032640541753
0.9838438975939212,1.3321878689386029
0.9919340018850755,1.4217326000545978
0.9919340018850755,1.4781847131494625
0.982046096640331,1.490837772981071
0.9640680871044321,1.4480120320125525
0.9456406273301361,1.2942286894437793
0.911931859450326,0.9827687551272792
0.8894593475304526,0.6119367708316963
0.8863131958616702,0.27225077996776237
0.8768747408553232,0.1807594242622899
0.8656384848953864,0.24305141112559042
0.8521549777434624,0.36471544796797456
0.8494582763130775,0.5058457307051378
0.8512560772666675,0.6722821331055177
0.857098930365835,0.85721146910594
0.8723802384713485,1.0489539911695351
0.8917065987224397,1.2076038952120034
0.9141791106423129,1.31369493533856
0.9375505230389816,1.3964264803913824
0.9362021723237892,1.4480120320125525
0.920920864218275,1.4811046500336797
0.9087857077815434,1.601795374581324
0.9123813096887237,1.6621407368551455
0.9263142670790446,1.6971799794657516
0.9362021723237892,1.7292992851921407
